
carediolgy	["[('cardiology', 0.9), ('cardiology]', 0.9), ('cardiology\\\\', 0.9), ('cardiology;', 0.9)]"]	cardiology	Changed	{'Corrected - Using MultiEdit Probable Candidates [carediolgy ==> cardiology]'}
backgroun	["[('background', 2.026583095784018e-06)]"]	background	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [backgroun ==> background]'}
backgroun	["[('background', 2.026583095784018e-06)]"]	background	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [backgroun ==> background]'}
backgroun	["[('background', 2.026583095784018e-06)]"]	background	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [backgroun ==> background]'}
constusions	["[('contusions', 2.9307121044271338e-06)]"]	contusions	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [constusions ==> contusions]'}
constusions	["[('contusions', 2.9307121044271338e-06)]"]	contusions	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [constusions ==> contusions]'}
constusions	["[('contusions', 2.9307121044271338e-06)]"]	contusions	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [constusions ==> contusions]'}
iatrogentic	["[('iatrogenic', 4.053166191568036e-06)]"]	iatrogenic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [iatrogentic ==> iatrogenic]'}
iatrogentic	["[('iatrogenic', 4.053166191568036e-06)]"]	iatrogenic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [iatrogentic ==> iatrogenic]'}
iatrogentic	["[('iatrogenic', 4.053166191568036e-06)]"]	iatrogenic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [iatrogentic ==> iatrogenic]'}
iatrogentic	["[('iatrogenic', 4.053166191568036e-06)]"]	iatrogenic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [iatrogentic ==> iatrogenic]'}
iatrogentic	["[('iatrogenic', 4.053166191568036e-06)]"]	iatrogenic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [iatrogentic ==> iatrogenic]'}
hmeithorax	["[('hemithorax', 0.9), ('hemithorax.', 0.9), ('hemi-thorax.', 0.9), ('mesothorax', 0.9)]"]	hemithorax	Changed	{'Corrected - Using MultiEdit Probable Candidates [hmeithorax ==> hemithorax]'}
requirs	["[('require', 1.6212664766272145e-06), ('requires', 1.6212664766272145e-06)]"]	require	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [requirs ==> require]'}
requirs	["[('require', 1.6212664766272145e-06), ('requires', 1.6212664766272145e-06)]"]	require	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [requirs ==> require]'}
requirs	["[('require', 1.6212664766272145e-06), ('requires', 1.6212664766272145e-06)]"]	require	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [requirs ==> require]'}
requirs	["[('require', 1.6212664766272145e-06), ('requires', 1.6212664766272145e-06)]"]	require	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [requirs ==> require]'}
requirs	["[('require', 1.6212664766272145e-06), ('requires', 1.6212664766272145e-06)]"]	require	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [requirs ==> require]'}
chheks	["[('cheeks', 1.215949857470411e-06)]"]	cheeks	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [chheks ==> cheeks]'}
chheks	["[('cheeks', 1.215949857470411e-06)]"]	cheeks	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [chheks ==> cheeks]'}
confuson	["[('confusion', 4.863799429881644e-06)]"]	confusion	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [confuson ==> confusion]'}
confuson	["[('confusion', 4.863799429881644e-06)]"]	confusion	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [confuson ==> confusion]'}
confuson	["[('confusion', 4.863799429881644e-06)]"]	confusion	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [confuson ==> confusion]'}
peunothorax	["[('pneumothorax', 0.9), ('pneumothorax:', 0.9), ('pneumothorax.', 0.9), ('pneumothorax,', 0.9)]"]	pneumothorax	Changed	{'Corrected - Using MultiEdit Probable Candidates [peunothorax ==> pneumothorax]'}
fibros	[]	fibros	Same	{'Same- Token Exists in English Vocabulary [fibros]'}
fibros	[]	fibros	Same	{'Same- Token Exists in English Vocabulary [fibros]'}
fibros	[]	fibros	Same	{'Same- Token Exists in English Vocabulary [fibros]'}
mininutes	["[('minutes', 0.9), ('insinuates', 0.9), ('minutes]', 0.9), ('minutes\\\\', 0.9)]"]	minutes	Changed	{'Corrected - Using MultiEdit Probable Candidates [mininutes ==> minutes]'}
mininutes	["[('minutes', 0.9), ('insinuates', 0.9), ('minutes]', 0.9), ('minutes\\\\', 0.9)]"]	minutes	Changed	{'Corrected - Using MultiEdit Probable Candidates [mininutes ==> minutes]'}
mininutes	["[('minutes', 0.9), ('insinuates', 0.9), ('minutes]', 0.9), ('minutes\\\\', 0.9)]"]	minutes	Changed	{'Corrected - Using MultiEdit Probable Candidates [mininutes ==> minutes]'}
mininutes	["[('minutes', 0.9), ('insinuates', 0.9), ('minutes]', 0.9), ('minutes\\\\', 0.9)]"]	minutes	Changed	{'Corrected - Using MultiEdit Probable Candidates [mininutes ==> minutes]'}
dehiscnece	["[('dehiscence', 8.106332383136072e-06)]"]	dehiscence	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [dehiscnece ==> dehiscence]'}
hydorcele	["[('hydrocele', 5.674432668195251e-06)]"]	hydrocele	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hydorcele ==> hydrocele]'}
hydorcele	["[('hydrocele', 5.674432668195251e-06)]"]	hydrocele	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [hydorcele ==> hydrocele]'}
aprropriately	["[('appropriately', 4.0531661915680364e-07)]"]	appropriately	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [aprropriately ==> appropriately]'}
aprropriately	["[('appropriately', 4.0531661915680364e-07)]"]	appropriately	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [aprropriately ==> appropriately]'}
aprropriately	["[('appropriately', 4.0531661915680364e-07)]"]	appropriately	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [aprropriately ==> appropriately]'}
aprropriately	["[('appropriately', 4.0531661915680364e-07)]"]	appropriately	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [aprropriately ==> appropriately]'}
aprropriately	["[('appropriately', 4.0531661915680364e-07)]"]	appropriately	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [aprropriately ==> appropriately]'}
psteroids	["[('steroids', 3.242532953254429e-06)]"]	steroids	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [psteroids ==> steroids]'}
prosatectomy	["[('prostatectomy', 8.106332383136073e-07)]"]	prostatectomy	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [prosatectomy ==> prostatectomy]'}
prosatectomy	["[('prostatectomy', 8.106332383136073e-07)]"]	prostatectomy	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [prosatectomy ==> prostatectomy]'}
popletial	["[('potential', 0.9), ('popliteal', 0.9), ('political', 0.9), ('propanethial', 0.9)]"]	potential	Changed	{'Corrected - Using MultiEdit Probable Candidates [popletial ==> potential]'}
popletial	["[('potential', 0.9), ('popliteal', 0.9), ('political', 0.9), ('propanethial', 0.9)]"]	potential	Changed	{'Corrected - Using MultiEdit Probable Candidates [popletial ==> potential]'}
popletial	["[('potential', 0.9), ('popliteal', 0.9), ('political', 0.9), ('propanethial', 0.9)]"]	potential	Changed	{'Corrected - Using MultiEdit Probable Candidates [popletial ==> potential]'}
popletial	["[('potential', 0.9), ('popliteal', 0.9), ('political', 0.9), ('propanethial', 0.9)]"]	potential	Changed	{'Corrected - Using MultiEdit Probable Candidates [popletial ==> potential]'}
popletial	["[('potential', 0.9), ('popliteal', 0.9), ('political', 0.9), ('propanethial', 0.9)]"]	potential	Changed	{'Corrected - Using MultiEdit Probable Candidates [popletial ==> potential]'}
intuabte	["[('intubate', 0.9), ('intubated', 0.9), ('situate', 0.9), ('in-tube', 0.9)]"]	intubate	Changed	{'Corrected - Using MultiEdit Probable Candidates [intuabte ==> intubate]'}
intuabte	["[('intubate', 0.9), ('intubated', 0.9), ('situate', 0.9), ('in-tube', 0.9)]"]	intubate	Changed	{'Corrected - Using MultiEdit Probable Candidates [intuabte ==> intubate]'}
femerals	["[('femoral', 0.9), ('females', 0.9), ('federal', 0.9), ('emerald', 0.9)]"]	femoral	Changed	{'Corrected - Using MultiEdit Probable Candidates [femerals ==> femoral]'}
femerals	["[('femoral', 0.9), ('females', 0.9), ('federal', 0.9), ('emerald', 0.9)]"]	femoral	Changed	{'Corrected - Using MultiEdit Probable Candidates [femerals ==> femoral]'}
popletieal	["[('popliteal', 0.9), ('popliteal,', 0.9), ('potentiel', 0.9), ('potential', 0.9)]"]	popliteal	Changed	{'Corrected - Using MultiEdit Probable Candidates [popletieal ==> popliteal]'}
sensarion	["[('sensation', 1.5402031527958537e-05)]"]	sensation	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [sensarion ==> sensation]'}
thryohyoid	["[('thyrohyoid', 2.431899714940822e-06)]"]	thyrohyoid	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [thryohyoid ==> thyrohyoid]'}
thryohyoid	["[('thyrohyoid', 2.431899714940822e-06)]"]	thyrohyoid	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [thryohyoid ==> thyrohyoid]'}
thryohyoid	["[('thyrohyoid', 2.431899714940822e-06)]"]	thyrohyoid	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [thryohyoid ==> thyrohyoid]'}
dicarded	["[('discarded', 0.9), ('discarded.', 0.9), ('discarded,', 0.9), ('discarded)', 0.9)]"]	discarded	Changed	{'Corrected - Using MultiEdit Probable Candidates [dicarded ==> discarded]'}
dicarded	["[('discarded', 0.9), ('discarded.', 0.9), ('discarded,', 0.9), ('discarded)', 0.9)]"]	discarded	Changed	{'Corrected - Using MultiEdit Probable Candidates [dicarded ==> discarded]'}
dicarded	["[('discarded', 0.9), ('discarded.', 0.9), ('discarded,', 0.9), ('discarded)', 0.9)]"]	discarded	Changed	{'Corrected - Using MultiEdit Probable Candidates [dicarded ==> discarded]'}
dicarded	["[('discarded', 0.9), ('discarded.', 0.9), ('discarded,', 0.9), ('discarded)', 0.9)]"]	discarded	Changed	{'Corrected - Using MultiEdit Probable Candidates [dicarded ==> discarded]'}
dicarded	["[('discarded', 0.9), ('discarded.', 0.9), ('discarded,', 0.9), ('discarded)', 0.9)]"]	discarded	Changed	{'Corrected - Using MultiEdit Probable Candidates [dicarded ==> discarded]'}
palitave	["[('palmitate', 0.9), ('psalliotae', 0.9), ('palmitate;', 0.9), ('palmitate.', 0.9)]"]	palmitate	Changed	{'Corrected - Using MultiEdit Probable Candidates [palitave ==> palmitate]'}
mucoiud	["[('mucoid', 6.079749287352054e-06)]"]	mucoid	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [mucoiud ==> mucoid]'}
drianable	["[('diagnosable', 0.9), ('trainable', 0.9), ('printable', 0.9), ('diakonale', 0.9)]"]	diagnosable	Changed	{'Corrected - Using MultiEdit Probable Candidates [drianable ==> diagnosable]'}
respoding	["[('responding', 0.9), ('responding;', 0.9), ('responding.', 0.9), ('responding,', 0.9)]"]	responding	Changed	{'Corrected - Using MultiEdit Probable Candidates [respoding ==> responding]'}
respoding	["[('responding', 0.9), ('responding;', 0.9), ('responding.', 0.9), ('responding,', 0.9)]"]	responding	Changed	{'Corrected - Using MultiEdit Probable Candidates [respoding ==> responding]'}
respoding	["[('responding', 0.9), ('responding;', 0.9), ('responding.', 0.9), ('responding,', 0.9)]"]	responding	Changed	{'Corrected - Using MultiEdit Probable Candidates [respoding ==> responding]'}
respoding	["[('responding', 0.9), ('responding;', 0.9), ('responding.', 0.9), ('responding,', 0.9)]"]	responding	Changed	{'Corrected - Using MultiEdit Probable Candidates [respoding ==> responding]'}
respoding	["[('responding', 0.9), ('responding;', 0.9), ('responding.', 0.9), ('responding,', 0.9)]"]	responding	Changed	{'Corrected - Using MultiEdit Probable Candidates [respoding ==> responding]'}
invadses	["[('invades', 0.9), ('invaders', 0.9), ('invadens', 0.9), ('invade', 0.9)]"]	invades	Changed	{'Corrected - Using MultiEdit Probable Candidates [invadses ==> invades]'}
resutlts	["[('results', 1.013291547892009e-05)]"]	results	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [resutlts ==> results]'}
exctration	["[('extraction', 0.9), ('execration', 0.9), ('excitation', 0.9), ('expectoration', 0.9)]"]	extraction	Changed	{'Corrected - Using MultiEdit Probable Candidates [exctration ==> extraction]'}
agglutin	["[('agglutinin', 0.9), ('agglutinins', 0.9), ('agglutinin.', 0.9), ('agglutinin,', 0.9)]"]	agglutinin	Changed	{'Corrected - Using MultiEdit Probable Candidates [agglutin ==> agglutinin]'}
agglutin	["[('agglutinin', 0.9), ('agglutinins', 0.9), ('agglutinin.', 0.9), ('agglutinin,', 0.9)]"]	agglutinin	Changed	{'Corrected - Using MultiEdit Probable Candidates [agglutin ==> agglutinin]'}
agglutin	["[('agglutinin', 0.9), ('agglutinins', 0.9), ('agglutinin.', 0.9), ('agglutinin,', 0.9)]"]	agglutinin	Changed	{'Corrected - Using MultiEdit Probable Candidates [agglutin ==> agglutinin]'}
vasoleine	["[('gasoline', 0.9), ('vasodentine', 0.9), ('valine', 0.9), ('vasocrine', 0.9)]"]	gasoline	Changed	{'Corrected - Using MultiEdit Probable Candidates [vasoleine ==> gasoline]'}
eosoniphils	["[('eosinophils', 0.9), ('eosinophils;', 0.9), ('eosinophils:', 0.9), ('eosinophils.', 0.9)]"]	eosinophils	Changed	{'Corrected - Using MultiEdit Probable Candidates [eosoniphils ==> eosinophils]'}
eosoniphils	["[('eosinophils', 0.9), ('eosinophils;', 0.9), ('eosinophils:', 0.9), ('eosinophils.', 0.9)]"]	eosinophils	Changed	{'Corrected - Using MultiEdit Probable Candidates [eosoniphils ==> eosinophils]'}
eosoniphils	["[('eosinophils', 0.9), ('eosinophils;', 0.9), ('eosinophils:', 0.9), ('eosinophils.', 0.9)]"]	eosinophils	Changed	{'Corrected - Using MultiEdit Probable Candidates [eosoniphils ==> eosinophils]'}
hopitilization	["[('hospitalization', 0.9), ('hospitalizations', 0.9), ('hospitalization]', 0.9), ('hospitalization?', 0.9)]"]	hospitalization	Changed	{'Corrected - Using MultiEdit Probable Candidates [hopitilization ==> hospitalization]'}
nygstamus	["[('nystagmus', 0.9), ('nystagmus]', 0.9), ('nystagmus;', 0.9), ('nystagmus:', 0.9)]"]	nystagmus	Changed	{'Corrected - Using MultiEdit Probable Candidates [nygstamus ==> nystagmus]'}
diurises	["[('irises', 0.9), ('disguises', 0.9), ('diaries', 0.9), ('dairies', 0.9)]"]	irises	Changed	{'Corrected - Using MultiEdit Probable Candidates [diurises ==> irises]'}
diurises	["[('irises', 0.9), ('disguises', 0.9), ('diaries', 0.9), ('dairies', 0.9)]"]	irises	Changed	{'Corrected - Using MultiEdit Probable Candidates [diurises ==> irises]'}
diurises	["[('irises', 0.9), ('disguises', 0.9), ('diaries', 0.9), ('dairies', 0.9)]"]	irises	Changed	{'Corrected - Using MultiEdit Probable Candidates [diurises ==> irises]'}
diurises	["[('irises', 0.9), ('disguises', 0.9), ('diaries', 0.9), ('dairies', 0.9)]"]	irises	Changed	{'Corrected - Using MultiEdit Probable Candidates [diurises ==> irises]'}
nutritio	["[('nutrition', 2.026583095784018e-06)]"]	nutrition	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [nutritio ==> nutrition]'}
nutritio	["[('nutrition', 2.026583095784018e-06)]"]	nutrition	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [nutritio ==> nutrition]'}
pevlic	["[('pelvic', 0.00015280436542211497)]"]	pelvic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [pevlic ==> pelvic]'}
pevlic	["[('pelvic', 0.00015280436542211497)]"]	pelvic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [pevlic ==> pelvic]'}
pevlic	["[('pelvic', 0.00015280436542211497)]"]	pelvic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [pevlic ==> pelvic]'}
pevlic	["[('pelvic', 0.00015280436542211497)]"]	pelvic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [pevlic ==> pelvic]'}
pevlic	["[('pelvic', 0.00015280436542211497)]"]	pelvic	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [pevlic ==> pelvic]'}
syndomre	["[('syndome', 0.9), ('syndrome', 0.9), ('syndrome»', 0.9), ('syndromes', 0.9)]"]	syndome	Changed	{'Corrected - Using MultiEdit Probable Candidates [syndomre ==> syndome]'}
syndomre	["[('syndome', 0.9), ('syndrome', 0.9), ('syndrome»', 0.9), ('syndromes', 0.9)]"]	syndome	Changed	{'Corrected - Using MultiEdit Probable Candidates [syndomre ==> syndome]'}
syndomre	["[('syndome', 0.9), ('syndrome', 0.9), ('syndrome»', 0.9), ('syndromes', 0.9)]"]	syndome	Changed	{'Corrected - Using MultiEdit Probable Candidates [syndomre ==> syndome]'}
syndomre	["[('syndome', 0.9), ('syndrome', 0.9), ('syndrome»', 0.9), ('syndromes', 0.9)]"]	syndome	Changed	{'Corrected - Using MultiEdit Probable Candidates [syndomre ==> syndome]'}
syndomre	["[('syndome', 0.9), ('syndrome', 0.9), ('syndrome»', 0.9), ('syndromes', 0.9)]"]	syndome	Changed	{'Corrected - Using MultiEdit Probable Candidates [syndomre ==> syndome]'}
tomorrowpt	["[('tomorrow', 0.9), ('tomorrow?', 0.9), ('tomorrow<', 0.9), ('tomorrow.', 0.9)]"]	tomorrow	Changed	{'Corrected - Using MultiEdit Probable Candidates [tomorrowpt ==> tomorrow]'}
respiraoty	["[('respiratory', 0.9), ('respirometry', 0.9), ('respiratory]', 0.9), ('respiratory/', 0.9)]"]	respiratory	Changed	{'Corrected - Using MultiEdit Probable Candidates [respiraoty ==> respiratory]'}
respiraoty	["[('respiratory', 0.9), ('respirometry', 0.9), ('respiratory]', 0.9), ('respiratory/', 0.9)]"]	respiratory	Changed	{'Corrected - Using MultiEdit Probable Candidates [respiraoty ==> respiratory]'}
respiraoty	["[('respiratory', 0.9), ('respirometry', 0.9), ('respiratory]', 0.9), ('respiratory/', 0.9)]"]	respiratory	Changed	{'Corrected - Using MultiEdit Probable Candidates [respiraoty ==> respiratory]'}
respiraoty	["[('respiratory', 0.9), ('respirometry', 0.9), ('respiratory]', 0.9), ('respiratory/', 0.9)]"]	respiratory	Changed	{'Corrected - Using MultiEdit Probable Candidates [respiraoty ==> respiratory]'}
respiraoty	["[('respiratory', 0.9), ('respirometry', 0.9), ('respiratory]', 0.9), ('respiratory/', 0.9)]"]	respiratory	Changed	{'Corrected - Using MultiEdit Probable Candidates [respiraoty ==> respiratory]'}
pupilarry	["[('pupillary', 0.9), ('pupillary,', 0.9), ('papillary', 0.9), ('pupilla', 0.9)]"]	pupillary	Changed	{'Corrected - Using MultiEdit Probable Candidates [pupilarry ==> pupillary]'}
pupilarry	["[('pupillary', 0.9), ('pupillary,', 0.9), ('papillary', 0.9), ('pupilla', 0.9)]"]	pupillary	Changed	{'Corrected - Using MultiEdit Probable Candidates [pupilarry ==> pupillary]'}
desceased	["[('deceased', 2.0514984730989937e-05)]"]	deceased	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [desceased ==> deceased]'}
desceased	["[('deceased', 2.0514984730989937e-05)]"]	deceased	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [desceased ==> deceased]'}
desceased	["[('deceased', 2.0514984730989937e-05)]"]	deceased	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [desceased ==> deceased]'}
rflex	["[('reflex', 2.796684672181945e-05)]"]	reflex	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [rflex ==> reflex]'}
rflex	["[('reflex', 2.796684672181945e-05)]"]	reflex	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [rflex ==> reflex]'}
miacalicin	["[('macacine', 0.9), ('miraculin', 0.9), ('karalicin', 0.9), ('alcaligin', 0.9)]"]	macacine	Changed	{'Corrected - Using MultiEdit Probable Candidates [miacalicin ==> macacine]'}
sliglhtly	["[('slightly', 2.344569683541707e-05)]"]	slightly	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [sliglhtly ==> slightly]'}
sliglhtly	["[('slightly', 2.344569683541707e-05)]"]	slightly	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [sliglhtly ==> slightly]'}
fionger	["[('finger', 0.0006582341895106491)]"]	finger	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [fionger ==> finger]'}
prblm	["[('problem', 0.9), ('prbm.', 0.9), ('problems', 0.9), ('problem]', 0.9)]"]	problem	Changed	{'Corrected - Using MultiEdit Probable Candidates [prblm ==> problem]'}
prblm	["[('problem', 0.9), ('prbm.', 0.9), ('problems', 0.9), ('problem]', 0.9)]"]	problem	Changed	{'Corrected - Using MultiEdit Probable Candidates [prblm ==> problem]'}
prblm	["[('problem', 0.9), ('prbm.', 0.9), ('problems', 0.9), ('problem]', 0.9)]"]	problem	Changed	{'Corrected - Using MultiEdit Probable Candidates [prblm ==> problem]'}
glarigine	["[('glargine', 0.9), ('lamotrigine', 0.9), ('laurifine', 0.9), ('glabridin', 0.9)]"]	glargine	Changed	{'Corrected - Using MultiEdit Probable Candidates [glarigine ==> glargine]'}
glarigine	["[('glargine', 0.9), ('lamotrigine', 0.9), ('laurifine', 0.9), ('glabridin', 0.9)]"]	glargine	Changed	{'Corrected - Using MultiEdit Probable Candidates [glarigine ==> glargine]'}
strcture	["[('structure', 0.00014023955022825406), ('stricture', 3.120937967507388e-05)]"]	structure	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [strcture ==> structure]'}
atazanzvir	["[('atazanavir', 8.106332383136073e-07)]"]	atazanavir	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [atazanzvir ==> atazanavir]'}
readins	["[('reading', 3.6478495724112327e-06)]"]	reading	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [readins ==> reading]'}
readins	["[('reading', 3.6478495724112327e-06)]"]	reading	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [readins ==> reading]'}
ureteteral	["[('ureteral', 0.9), ('urethral', 0.9), ('subureteral', 0.9), ('midureteral', 0.9)]"]	ureteral	Changed	{'Corrected - Using MultiEdit Probable Candidates [ureteteral ==> ureteral]'}
pleurodeses	["[('pleurodesis', 0.9), ('pleurodeles', 0.9), ('pleurodesis.', 0.9), ('pleurodesis,', 0.9)]"]	pleurodesis	Changed	{'Corrected - Using MultiEdit Probable Candidates [pleurodeses ==> pleurodesis]'}
pleurodeses	["[('pleurodesis', 0.9), ('pleurodeles', 0.9), ('pleurodesis.', 0.9), ('pleurodesis,', 0.9)]"]	pleurodesis	Changed	{'Corrected - Using MultiEdit Probable Candidates [pleurodeses ==> pleurodesis]'}
pleurodeses	["[('pleurodesis', 0.9), ('pleurodeles', 0.9), ('pleurodesis.', 0.9), ('pleurodesis,', 0.9)]"]	pleurodesis	Changed	{'Corrected - Using MultiEdit Probable Candidates [pleurodeses ==> pleurodesis]'}
pleurodeses	["[('pleurodesis', 0.9), ('pleurodeles', 0.9), ('pleurodesis.', 0.9), ('pleurodesis,', 0.9)]"]	pleurodesis	Changed	{'Corrected - Using MultiEdit Probable Candidates [pleurodeses ==> pleurodesis]'}
pleurodeses	["[('pleurodesis', 0.9), ('pleurodeles', 0.9), ('pleurodesis.', 0.9), ('pleurodesis,', 0.9)]"]	pleurodesis	Changed	{'Corrected - Using MultiEdit Probable Candidates [pleurodeses ==> pleurodesis]'}
hematc	["[('hematic', 0.9), ('thematic', 0.9), ('thematics', 0.9), ('thematic/', 0.9)]"]	hematic	Changed	{'Corrected - Using MultiEdit Probable Candidates [hematc ==> hematic]'}
adenapathy	["[('adenopathy', 1.215949857470411e-06)]"]	adenopathy	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [adenapathy ==> adenopathy]'}
drainags	["[('drainage', 5.269116049038447e-06)]"]	drainage	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [drainags ==> drainage]'}
drainags	["[('drainage', 5.269116049038447e-06)]"]	drainage	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [drainags ==> drainage]'}
drainags	["[('drainage', 5.269116049038447e-06)]"]	drainage	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [drainags ==> drainage]'}
drainags	["[('drainage', 5.269116049038447e-06)]"]	drainage	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [drainags ==> drainage]'}
partcipate	["[('participate', 1.1722848417708535e-05)]"]	participate	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [partcipate ==> participate]'}
cortonary	["[('coronary', 0.00012159498574704108)]"]	coronary	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [cortonary ==> coronary]'}
cortonary	["[('coronary', 0.00012159498574704108)]"]	coronary	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [cortonary ==> coronary]'}
cortonary	["[('coronary', 0.00012159498574704108)]"]	coronary	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [cortonary ==> coronary]'}
cerruloplasm	["[('ceruloplasmin', 0.9), ('ceruloplasmin.', 0.9), ('ceruloplasmin,', 0.9), ('caeruloplasmin', 0.9)]"]	ceruloplasmin	Changed	{'Corrected - Using MultiEdit Probable Candidates [cerruloplasm ==> ceruloplasmin]'}
adiitionally	["[('additionally', 3.809925735755274e-05)]"]	additionally	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [adiitionally ==> additionally]'}
induartion	["[('induration', 2.431899714940822e-06)]"]	induration	Changed	{'Corrected - Using Single-Edit Probable Candidates in Domain Corpus [induartion ==> induration]'}
beccame	["[('became', 2.344569683541707e-05)]"]	became	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [beccame ==> became]'}
beccame	["[('became', 2.344569683541707e-05)]"]	became	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [beccame ==> became]'}
beccame	["[('became', 2.344569683541707e-05)]"]	became	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [beccame ==> became]'}
resuem	["[('resume', 1.4653560522135668e-05)]"]	resume	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [resuem ==> resume]'}
resuem	["[('resume', 1.4653560522135668e-05)]"]	resume	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [resuem ==> resume]'}
resuem	["[('resume', 1.4653560522135668e-05)]"]	resume	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [resuem ==> resume]'}
resuem	["[('resume', 1.4653560522135668e-05)]"]	resume	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [resuem ==> resume]'}
resuem	["[('resume', 1.4653560522135668e-05)]"]	resume	Changed	{'Corrected - Using Single-Edit Probable Candidates in English Corpus [resuem ==> resume]'}
entends	["[('intends', 0.9), ('extends', 0.9), ('tends', 0.9), ('sentiens', 0.9)]"]	intends	Changed	{'Corrected - Using MultiEdit Probable Candidates [entends ==> intends]'}
